step,Episode_Reward_action_rate_l2,Episode_Reward_joint_limit,Episode_Reward_motion_body_ang_vel,Episode_Reward_motion_body_lin_vel,Episode_Reward_motion_body_ori,Episode_Reward_motion_body_pos,Episode_Reward_motion_global_root_ori,Episode_Reward_motion_global_root_pos,Episode_Reward_self_collisions,Episode_Termination_anchor_ori,Episode_Termination_anchor_pos,Episode_Termination_ee_body_pos,Episode_Termination_time_out,Loss_entropy,Loss_learning_rate,Loss_surrogate,Loss_value_function,Metrics_motion_error_anchor_ang_vel,Metrics_motion_error_anchor_lin_vel,Metrics_motion_error_anchor_pos,Metrics_motion_error_anchor_rot,Metrics_motion_error_body_ang_vel,Metrics_motion_error_body_lin_vel,Metrics_motion_error_body_pos,Metrics_motion_error_body_rot,Metrics_motion_error_joint_pos,Metrics_motion_error_joint_vel,Metrics_motion_sampling_entropy,Metrics_motion_sampling_top1_bin,Metrics_motion_sampling_top1_prob,Perf_collection time,Perf_learning_time,Perf_total_fps,Policy_mean_noise_std,Train_mean_episode_length,Train_mean_episode_length_time,Train_mean_reward,Train_mean_reward_time
2,-0.10051748156547546,-0.003999901004135609,0.00023154850350692868,0.005310108419507742,0.005366571247577667,0.016091421246528625,0.005634416826069355,0.00821166392415762,-0.02440793067216873,0.0833333358168602,1.0416667461395264,447.04168701171875,0.0,40.96352005004883,0.00014814814494457096,-0.012381006963551044,0.3191262483596802,3.7129123210906982,0.8392916917800903,0.10631370544433594,0.35686203837394714,,,0.11505891382694244,0.632331132888794,2.237260341644287,25.796615600585938,0.9860390424728394,0.692307710647583,0.10193245857954025,0.5950667858123779,0.05385160446166992,151489.0,0.9922928810119629,9.630000114440918,,-0.9298756122589111,
3,,,,,,,,,,,,,,,,,,,,,,7.223733425140381,1.178043246269226,,,,,,,,,,,,,9.630000114440918,,-0.9298756122589111
5,-0.08737145364284515,-0.003358185291290283,0.00017800273781176656,0.004506060853600502,0.005128846503794193,0.014784207567572594,0.005387464072555304,0.00756885576993227,-0.00970429927110672,0.0833333358168602,0.5,498.54168701171875,0.0,40.710960388183594,9.999999747378752e-06,-0.010396112687885761,0.09971241652965546,3.6729001998901367,0.8360409736633301,0.098179392516613,0.3315703868865967,,,0.10921003669500351,0.6154202222824097,2.2017626762390137,25.94039535522461,0.9826993942260742,0.692307710647583,0.10452922433614731,0.5923795700073242,0.054370880126953125,151996.0,0.983656108379364,8.510000228881836,8.510000228881836,-0.5947079658508301,-0.5947079658508301
6,,,,,,,,,,,,,,,,,,,,,,7.363534927368164,1.2052943706512451,,,,,,,,,,,,,8.529999732971191,,-0.5950756072998047
7,-0.07873719185590744,-0.0030089272186160088,0.00014690886018797755,0.003999505192041397,0.004940527956932783,0.013861062936484814,0.005161179229617119,0.007099233567714691,-0.005183906760066748,0.0,0.6666666865348816,531.2083740234375,0.0,40.557071685791016,1.4999999621068127e-05,-0.009804587811231613,0.06445763260126114,3.6587493419647217,0.8541754484176636,0.09370022267103195,0.31492936611175537,,,0.10527896881103516,0.5999994277954102,2.1573386192321777,26.066314697265625,0.9814494848251343,0.692307710647583,0.10529974102973938,0.5937352180480957,0.052580833435058594,152098.0,0.9784165024757385,8.529999732971191,,-0.5950756072998047,
8,,,,,,,,,,,,,,,,,,,,,,7.435216426849365,1.2295112609863281,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78000020980835,,-0.31925174593925476
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.369999885559082,,-0.2760716676712036
15,-0.05941491574048996,-0.0020719608291983604,9.000393038149923e-05,0.0031340979039669037,0.00454200292006135,0.012380818836390972,0.004684259183704853,0.006388614885509014,-0.0017441832460463047,0.0,0.0416666679084301,604.7916870117188,0.0,39.513824462890625,7.593750342493877e-05,-0.012235790491104126,0.019377799704670906,3.7265727519989014,0.8760768175125122,0.08538111299276352,0.30140477418899536,,,0.09943936765193939,0.58670973777771,2.1089720726013184,26.419086456298828,0.9789403676986694,0.692307710647583,0.10564565658569336,0.5819244384765625,0.05234026908874512,154988.0,0.9435024857521057,6.78000020980835,6.260000228881836,-0.31925174593925476,-0.21335414052009583
16,-0.05764336884021759,-0.0019481237977743149,8.639592851977795e-05,0.00306158559396863,0.004527190700173378,0.012250146828591824,0.004646263085305691,0.006325478665530682,-0.0015037109842523932,0.0,0.0416666679084301,609.5,0.0,39.38787078857422,5.062499985797331e-05,-0.01791585050523281,0.008388564921915531,3.786210536956787,0.8822417259216309,0.08460681885480881,0.2989090085029602,7.621470928192139,1.281991720199585,0.09889435023069382,0.5835862755775452,2.0999135971069336,26.553197860717773,0.9786993265151978,0.692307710647583,0.10584801435470581,0.5842773914337158,0.055243492126464844,153715.0,0.9397463798522949,6.730000019073486,6.380000114440918,-0.2918842136859894,-0.21691182255744934
17,-0.05614824220538139,-0.0019064920488744974,8.297544991364703e-05,0.0030158772133290768,0.004521625116467476,0.012191444635391235,0.004609471652656794,0.006293218582868576,-0.0016454647993668914,0.0,0.0,609.9166870117188,0.0,39.27904510498047,7.593750342493877e-05,-0.013841740787029266,0.01295240968465805,3.8252124786376953,0.8920735120773315,0.0847080871462822,0.30130529403686523,7.677469253540039,1.2929105758666992,0.0989341139793396,0.5841482877731323,2.099332571029663,26.568618774414062,0.9785032272338867,0.692307710647583,0.10570847988128662,0.5773415565490723,0.054787635803222656,155512.0,0.9360511302947998,6.369999885559082,,-0.2760716676712036,
18,,,,,,,,,,,,,,,,,,,,,,7.717563629150391,1.2993401288986206,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.289999961853027,,-0.1677214801311493
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.150000095367432,,-0.13759443163871765
21,-0.05091528594493866,-0.0016866556834429502,7.50718463677913e-05,0.0028550284914672375,0.004456763155758381,0.011817706748843193,0.004486072342842817,0.006112049333751202,-0.0013204887509346008,0.0,0.0,631.9583740234375,0.0,38.89101028442383,0.00017085937724914402,-0.017481902614235878,0.006969403009861708,3.8641738891601562,0.8935875296592712,0.0820789635181427,0.29789942502975464,,,0.09733109921216965,0.57932049036026,2.0796093940734863,26.924978256225586,0.9776769876480103,0.692307710647583,0.10648774355649948,0.5798561573028564,0.05425143241882324,155027.0,0.9223417043685913,6.420000076293945,,-0.23797623813152313,
22,-0.049307189881801605,-0.0016739045968279243,7.160806853789836e-05,0.002793431282043457,0.004421920515596867,0.011716000735759735,0.00444846972823143,0.00606214813888073,-0.0013184992130845785,0.0,0.0,637.125,0.0,38.67267608642578,9.999999747378752e-06,-0.023474613204598427,0.00526079349219799,3.8788247108459473,0.8997611999511719,0.08147642761468887,0.2982243597507477,7.884246826171875,1.3225879669189453,0.09701265394687653,0.5796210169792175,2.085671901702881,27.01492691040039,0.9775232076644897,0.692307710647583,0.10673283785581589,0.5786623954772949,0.05481839179992676,155180.0,0.9162130355834961,6.260000228881836,6.21999979019165,-0.21335414052009583,-0.1211942732334137
23,-0.047593679279088974,-0.0015972806140780449,7.016824383754283e-05,0.002769822720438242,0.004409696441143751,0.011647413484752178,0.004428837448358536,0.006027878727763891,-0.0012793384958058596,0.0,0.0,643.0,0.0,38.57660675048828,5.062499985797331e-05,-0.011090338230133057,0.006532173603773117,3.9210147857666016,0.8936628699302673,0.08109553903341293,0.2975029945373535,7.899592399597168,1.3249180316925049,0.09665173292160034,0.5782493352890015,2.079519271850586,26.980148315429688,0.9773475527763367,0.692307710647583,0.10694011300802231,0.574228048324585,0.05242776870727539,156870.0,0.9140337109565735,6.380000114440918,,-0.21691182255744934,
24,,,,,,,,,,,,,,,,,,,,,,7.928156852722168,1.328672170639038,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.099999904632568,,-0.09923859685659409
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.190000057220459,,-0.07689923793077469
28,-0.042765818536281586,-0.0014663194306194782,6.522470357595012e-05,0.0026384443044662476,0.004364190623164177,0.011377863585948944,0.004366273060441017,0.005888987332582474,-0.001053444342687726,0.0,0.0416666679084301,656.9583740234375,0.0,38.01885986328125,0.00011390625149942935,-0.020493369549512863,0.0038316480349749327,3.9777960777282715,0.9091913104057312,0.08001488447189331,0.29123640060424805,,,0.09570752084255219,0.5741219520568848,2.078766345977783,27.395610809326172,0.9767907857894897,0.692307710647583,0.10724611580371857,0.5732219219207764,0.05454087257385254,156594.0,0.8948183655738831,6.289999961853027,6.159999847412109,-0.1677214801311493,-0.056054938584566116
29,,,,,,,,,,,,,,,,,,,,,,8.087444305419922,1.352414846420288,,,,,,,,,,,,,,,
30,-0.04069707542657852,-0.0013388900551944971,6.571708945557475e-05,0.0026138785760849714,0.004348134621977806,0.011289100162684917,0.00434813043102622,0.005848431494086981,-0.0009919054573401809,0.0,0.0,664.5416870117188,0.0,37.69114303588867,0.00017085937724914402,-0.0202337559312582,0.0036044020671397448,4.0232062339782715,0.9007947444915771,0.07890461385250092,0.28905919194221497,,,0.09505796432495117,0.5725224018096924,2.0744855403900146,27.39415740966797,0.9764680862426758,0.692307710647583,0.10755555331707001,0.578754186630249,0.05697441101074219,154632.0,0.8851118087768555,6.150000095367432,,-0.13759443163871765,
31,,,,,,,,,,,,,,,,,,,,,,8.13785457611084,1.3613985776901245,,,,,,,,,,,,,,,
32,-0.03908933699131012,-0.0012982753105461597,6.93934562150389e-05,0.0026205291505903006,0.004388931207358837,0.011313730850815773,0.004384355153888464,0.005860574077814817,-0.001038095448166132,0.0,0.125,661.25,0.0,37.27519989013672,0.00017085937724914402,-0.017038719728589058,0.0048323036171495914,4.029097080230713,0.9046484231948853,0.0797232836484909,0.28776371479034424,,,0.09575086832046509,0.5715897083282471,2.0807688236236572,27.351802825927734,0.9763492941856384,0.692307710647583,0.1074695810675621,0.5783689022064209,0.0533909797668457,155603.0,0.8727865815162659,6.21999979019165,6.579999923706055,-0.1211942732334137,-0.043543729931116104
33,,,,,,,,,,,,,,,,,,,,,,8.116908073425293,1.364295482635498,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.400000095367432,,-0.018766243010759354
37,-0.03548784554004669,-0.0011509954929351807,7.765539339743555e-05,0.002620833460241556,0.004450962878763676,0.011242751032114029,0.004394373390823603,0.0058206780813634396,-0.0012091960525140166,0.0,0.0416666679084301,666.1666870117188,0.0,36.52032470703125,0.00017085937724914402,-0.014366061426699162,0.005230932962149382,4.061919212341309,0.9060614109039307,0.07872121036052704,0.28114673495292664,,,0.09479349106550217,0.5627694129943848,2.0722079277038574,27.2286434173584,0.9757555723190308,0.692307710647583,0.10767390578985214,0.5748035907745361,0.05182194709777832,156878.0,0.8504868149757385,6.099999904632568,6.369999885559082,-0.09923859685659409,-0.014569737017154694
38,,,,,,,,,,,,,,,,,,,,,,8.12269401550293,1.3680871725082397,,,,,,,,,,,,,,,
